ref;design;Preco_Euros
CSDESUP21;CS Desktop Enterprise Suporte +20 U.A.;136
CSONMMEGREPR;ON(m): CS Manufactor Executive Grelhas Rede;35,25
CSATDEQUADB20;AT: CS Desktop Enterprise Qualidade+Documentos+BPM 6a20 U.A.;137
CSSAWCEQUI120;SA: CS Web Corporate Equipa 1a20 U.A.;12
CSONAMEDIPR;ON: CS Advanced Medição p/ Gestão Rede;408
CSSAAPOS1P;SA: CS Advanced POS 1º Posto;165
CSWEEQPMG21;CS Web Enterprise Equipamento p/ Gestão +20 U.A.;19
CSSAARESPA;SA: CS Advanced Restauração Posto Adic.;198
CSONDEORCAP21;ON: CS Desktop Enterprise Orçamento p/ Gestão +20 U.A.;14
CSATDEVENC20;AT: CS Desktop Enterprise Vencimentos 6a20 U.A.;135
CSWEECOG21;CS Web Enterprise Ecovalor p/ Gestão +20 U.A.;19
CSONCLETR;ON: CS Corporate Letras Rede;135
CSATERMP;CS Advanced Terminais Portáteis;1446
CSCIMOVSAM;CS Corporate Imóveis Srv.Adic.Mono;380
CSONMWEDOC401;ON(m): CS Web Enterprise Documentos +400 U.A.;0,17
CSONMAECOGR;ON(m): CS Advanced Ecovalor p/ Gestão Rede;8,75
CSONCTERMP;ON: CS Corporate Terminais Portáteis;141
CSONMWAVENCUA;ON(m): CS Web Advanced Vencimentos U.A.;3,08
CSAEQPMGSA;CS Advanced Equipamento p/ Gestão Srv.Adic.;284
CSONMECONSR;ON(m): CS Enterprise Consolidação Rede;91,58
CSONMCOCUGM;ON(m): CS Corporate Ocupação p/ Gestão Mono;9,42
CSONMESUPSA;ON(m): CS Enterprise Suporte Srv.Adic.;27,83
CSONDEFROT5;ON: CS Desktop Enterprise Frota 1a5 U.A.;71
CSONCLOTGSAM;ON: CS Corporate Lotes p/ Gestão Srv.Adic.Mono;56
CSDEQUALI20;CS Desktop Enterprise Qualidade 6a20 U.A.;196
CSATMMMOLUA;AT: CS Manufactor Manager Moldes U.A.;25
CSATEIMOVR;AT: CS Enterprise Imóveis Rede;3655
CSSACPLANPR;SA: CS Corporate Planeamento p/ Gestão Rede;272
CSATDAQUALIUA;AT: CS Desktop Advanced Qualidade U.A.;76
CSSAWEEB2BIUA;SA: CS Web Enterprise E-Commerce B2B Intranet U.A.;125
CSONMWAEB2BIUA;ON(m): CS Web Advanced E-Commerce B2B Intranet U.A.;4
CSONCCLIM;ON: CS Corporate Clínica Mono;198
CSONMMEPLAUA;ON(m): CS Manufactor Executive Planning U.A.;9,42
CSONDECONS21;ON: CS Desktop Enterprise Consolidação +20 U.A.;25
CSONCIMOBSAM;ON: CS Corporate Imobilizado Srv.Adic.Mono;99
CSSADAPGLOUA;SA: CS Desktop Advanced Global U.A.;262
CSDEGAI100;CS Desktop Enterprise GenAI 21a100 U.A.;47
CSONDEGREG20;ON: CS Desktop Enterprise Grelhas p/ Gestão 6a20 U.A.;10
CSCECOGR;CS Corporate Ecovalor p/ Gestão Rede;548
CSCOBRGR;CS Corporate Obras p/ Gestão Rede;731
CSONMEGESSA;ON(m): CS Enterprise Gestão Srv.Adic.;33,83
CSSADEFORM21;SA: CS Desktop Enterprise Formação +20 U.A.;45
CSONDEFORM5;ON: CS Desktop Enterprise Formação 1a5 U.A.;101
CSONALETR;ON: CS Advanced Letras Rede;408
CSONMWAGESUA;ON(m): CS Web Advanced Gestão U.A.;3,08
CSCRGPDPPA;CS Corporate RGPD p/ POS Posto;96
CSESERVGSA;CS Enterprise Serviços Srv.Adic.;379
CSONMAQUALISA;ON(m): CS Advanced Qualidade Srv.Adic.;17
CSATEVENCR;AT: CS Enterprise Vencimentos Rede;2969
CSONDAECOGUA;ON: CS Desktop Advanced Ecovalor p/ Gestão U.A.;7
CSONCRGPD;ON: CS Corporate RGPD;70
CSONWADEN;ON: CS Web Advanced Denúncias;8
CSONAREVIPR;ON: CS Advanced Revisão de Preços Rede;408
CSEEDIB;CS Enterprise EDI Broker;796
CSATMMPLATUA;AT: CS Manufactor Manager Platform U.A.;182
CSONADEPOS;ON: CS Advanced Documentos Eletrónicos p/ POS;28
CSSADAGAI120;SA: CS Desktop Advanced GenAI 1a20 U.A.;17
CSATCLOTP5P;AT: CS Corporate Lotes p/ POS 1a5 Postos;112
CSMMPLATIUA;CS Manufactor Manager Platform Intranet U.A.;10
CSATWCRGPD;AT: CS Web Corporate RGPD;13
CSSACCLIR;SA: CS Corporate Clínica Rede;422
CSESUPR;CS Enterprise Suporte Rede;6018
CSONMCOBRGSAM;ON(m): CS Corporate Obras p/ Gestão Srv.Adic.Mono;4,67
CSATCSUPSTSAR;AT: CS Corporate Suporte + Stocks Srv.Adic.Rede;375
CSONEOCUGR;ON: CS Enterprise Ocupação p/ Gestão Rede;507
CSEFORMR;CS Enterprise Formação Rede;6018
CSCIMOBR;CS Corporate Imobilizado Rede;1279
CSWADOC101;CS Web Advanced Documentos +100 U.A.;29
CSONMWAECOE;ON(m): CS Web Advanced Ecovalor Extranet;3,5
CSONCGESTESAR;ON: CS Corporate Gestão Terceiros Srv.Adic.Rede;152
CSDAEQPMGUA;CS Desktop Advanced Equipamento p/ Gestão U.A.;36
CSATDEQUALI20;AT: CS Desktop Enterprise Qualidade 6a20 U.A.;98
CSONDEQUADB21;ON: CS Desktop Enterprise Qualidade+Documentos+BPM +20 U.A.;25
CSSADELOGIG20;SA: CS Desktop Enterprise Logística p/ Gestão 6a20 U.A.;33
CSONMEGREP20P;ON(m): CS Enterprise Grelhas p/ POS 11a20 Postos;1,42
CSWEDEN;CS Web Enterprise Denúncias;155
CSWAECOE;CS Web Advanced Ecovalor Extranet;227
CSATCGESTESAM;AT: CS Corporate Gestão Terceiros Srv.Adic.Mono;343
CSATMEPLATSA;AT: CS Manufactor Executive Platform Srv.Adic.;2255
CSDEGES20;CS Desktop Enterprise Gestão 6a20 U.A.;773
CSSADEPLANP20;SA: CS Desktop Enterprise Planeamento p/ Gestão 6a20 U.A.;18
CSATWECAR5;AT: CS Web Enterprise Careers 1a5 U.A.;63
SQL22FUSTSERVER;Servidor SQL Fulluse Server 2022 STANDARD Edition;1834
CSONMAIECAGSA;ON(m): CS Advanced IEC Álcool p/ Gestão Srv.Adic.;4,42
CSSACGESTER;SA: CS Corporate Gestão Terceiros Rede;543
CSSACTERMP;SA: CS Corporate Terminais Portáteis;251
CSONMDAORCAPUA;ON(m): CS Desktop Advanced Orçamento p/ Gestão U.A.;2,33
CSONDELOGIG5;ON: CS Desktop Enterprise Logística p/ Gestão 1a5 U.A.;37
CSATWCEQUI120;AT: CS Web Corporate Equipa 1a20 U.A.;19
CSAGESSA;CS Advanced Gestão Srv.Adic.;1888
CSSADAGAI101;SA: CS Desktop Advanced GenAI +100 U.A.;2
CSONDEEQUI20;ON: CS Desktop Enterprise Equipa 6a20 U.A.;37
